Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Tomoki Imai,34,Centre-Back,€300k,Japan
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Charbel Shamoon,20,Left-Back,€50k,"Iraq, Australia"
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Matthew Grimaldi,21,Left Winger,€200k,Australia
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Riku Danzaki,24,Right Winger,€250k,Japan
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Sun, 12/1/24",Western United FC,Melbourne Victory,Starting XI,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Sun, 12/1/24",Western United FC,Melbourne Victory,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Sun, 12/1/24",Western United FC,Melbourne Victory,Substitutes,James York,19,Central Midfield,€25k,"Australia, Scotland"
"Sun, 12/1/24",Western United FC,Melbourne Victory,Substitutes,Jordan Lauton,21,Central Midfield,€25k,Australia
"Sun, 12/1/24",Western United FC,Melbourne Victory,Substitutes,Ramy Najjarine,24,Left Winger,€300k,"Australia, Lebanon"
"Sun, 12/1/24",Western United FC,Melbourne Victory,Substitutes,Abel Walatee,20,Right Winger,€25k,"Australia, Ghana"
"Sun, 12/1/24",Western United FC,Melbourne Victory,Substitutes,Jake Najdovski,19,Centre-Forward,€25k,Australia
"Sun, 12/1/24",Western United FC,Melbourne Victory,Substitutes,Michael Ruhs,22,Centre-Forward,€200k,Australia
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Roderick Miranda,33,Centre-Back,€750k,"Portugal, Brazil"
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Kasey Bos,20,Left-Back,€150k,"Australia, Netherlands"
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Ryan Teague,22,Defensive Midfield,€400k,Australia
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Jordi Valadon,21,Defensive Midfield,€125k,Australia
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Zinédine Machach,28,Attacking Midfield,€600k,"France, Morocco"
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Daniel Arzani,25,Left Winger,€500k,Australia
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Clarismario,23,Right Winger,€450k,Brazil
"Sun, 12/1/24",Melbourne Victory,Western United FC,Starting XI,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
"Sun, 12/1/24",Melbourne Victory,Western United FC,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Sun, 12/1/24",Melbourne Victory,Western United FC,Substitutes,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Sun, 12/1/24",Melbourne Victory,Western United FC,Substitutes,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sun, 12/1/24",Melbourne Victory,Western United FC,Substitutes,Fabian Monge,23,Central Midfield,€200k,Australia
"Sun, 12/1/24",Melbourne Victory,Western United FC,Substitutes,Reno Piscopo,26,Left Winger,€450k,"Australia, Italy"
"Sun, 12/1/24",Melbourne Victory,Western United FC,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Sun, 12/1/24",Melbourne Victory,Western United FC,Substitutes,Bruno Fornaroli,37,Centre-Forward,€450k,"Australia, Uruguay"
